generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.05627648,48,28,13,1
2,0.05878524,46,28,15,0
3,0.06299662,49,28,12,0
4,0.06299662,49,28,12,0
5,0.06299662,49,28,12,0
6,0.06299662,49,28,12,0
7,0.06299662,49,28,12,0
8,0.06299662,49,28,12,0
9,0.06299662,49,28,12,0
10,0.06299662,49,28,12,0
11,0.06299662,49,28,12,0
12,0.06299662,49,28,12,0
13,0.06299662,49,28,12,0
14,0.06299662,49,28,12,0
15,0.06299662,49,28,12,0
16,0.06299662,49,28,12,0
17,0.06299662,49,28,12,0
18,0.06299662,49,28,12,0
19,0.06299662,49,28,12,0
20,0.06299662,49,28,12,0
21,0.06299662,49,28,12,0
22,0.06299662,49,28,12,0
23,0.06299662,49,28,12,0
24,0.06299662,49,28,12,0
25,0.06299662,49,28,12,0
26,0.06299662,49,28,12,0
27,0.06299662,49,28,12,0
28,0.06299662,49,28,12,0
29,0.06299662,49,28,12,0
30,0.06299662,49,28,12,0
31,0.06299662,49,28,12,0
32,0.06299662,49,28,12,0
33,0.06299662,49,28,12,0
34,0.06299662,49,28,12,0
35,0.06299662,49,28,12,0
36,0.06299662,49,28,12,0
37,0.06299662,49,28,12,0
38,0.06299662,49,28,12,0
39,0.06299662,49,28,12,0
40,0.06299662,49,28,12,0
41,0.06299662,49,28,12,0
42,0.06299662,49,28,12,0
43,0.06299662,49,28,12,0
44,0.06299662,49,28,12,0
45,0.06299662,49,28,12,0
46,0.06299662,49,28,12,0
47,0.06299662,49,28,12,0
48,0.06299662,49,28,12,0
49,0.06299662,49,28,12,0
50,0.06299662,49,28,12,0
51,0.06299662,49,28,12,0
52,0.06299662,49,28,12,0
53,0.06299662,49,28,12,0
54,0.06299662,49,28,12,0
55,0.06299662,49,28,12,0
56,0.06299662,49,28,12,0
57,0.06299662,49,28,12,0
58,0.06299662,49,28,12,0
59,0.06299662,49,28,12,0
60,0.06299662,49,28,12,0
