generacion,aptitud,deficit_cobertura,horas_extra,insatisfaccion,violaciones_legales
1,0.12322524,45,28,16,1
2,0.17533788,46,28,15,0
3,0.17555658,45,28,16,0
4,0.17555658,45,28,16,0
5,0.17555658,45,28,16,0
6,0.17555658,45,28,16,0
7,0.17555658,45,28,16,0
8,0.17555658,45,28,16,0
9,0.17555658,45,28,16,0
10,0.17555658,45,28,16,0
11,0.17555658,45,28,16,0
12,0.17555658,45,28,16,0
13,0.17555658,45,28,16,0
14,0.17555658,45,28,16,0
15,0.17555658,45,28,16,0
16,0.17555658,45,28,16,0
17,0.17555658,45,28,16,0
18,0.17555658,45,28,16,0
19,0.17555658,45,28,16,0
20,0.17555658,45,28,16,0
21,0.17555658,45,28,16,0
22,0.17555658,45,28,16,0
23,0.17555658,45,28,16,0
24,0.17555658,45,28,16,0
25,0.17555658,45,28,16,0
26,0.17555658,45,28,16,0
27,0.17555658,45,28,16,0
28,0.17555658,45,28,16,0
29,0.17555658,45,28,16,0
30,0.17555658,45,28,16,0
31,0.17555658,45,28,16,0
32,0.17555658,45,28,16,0
33,0.17555658,45,28,16,0
34,0.17555658,45,28,16,0
35,0.17555658,45,28,16,0
36,0.17555658,45,28,16,0
37,0.17555658,45,28,16,0
38,0.17555658,45,28,16,0
39,0.17555658,45,28,16,0
40,0.17555658,45,28,16,0
41,0.17555658,45,28,16,0
42,0.17555658,45,28,16,0
43,0.17555658,45,28,16,0
44,0.17555658,45,28,16,0
45,0.17555658,45,28,16,0
46,0.17555658,45,28,16,0
47,0.17555658,45,28,16,0
48,0.17555658,45,28,16,0
49,0.17555658,45,28,16,0
50,0.17555658,45,28,16,0
51,0.17555658,45,28,16,0
52,0.17555658,45,28,16,0
53,0.17555658,45,28,16,0
54,0.17555658,45,28,16,0
55,0.17555658,45,28,16,0
56,0.17555658,45,28,16,0
57,0.17555658,45,28,16,0
58,0.17555658,45,28,16,0
59,0.17555658,45,28,16,0
60,0.17555658,45,28,16,0
